sentence,sentiment,opinion,aspect,subjectivity
"And on this incredible journey into the depths of that darkness , what an absolutely marvelous guide is this modern day Virgil called Siddharta Mukherjee as he leads us on this long and often harrowing journey through the swarth that cancer has cut through mankind throughout time.Mukherjee is a veritable kaleidoscope .",POS,,Siddharta,1
"And on this incredible journey into the depths of that darkness , what an absolutely marvelous guide is this modern day Virgil called Siddharta Mukherjee as he leads us on this long and often harrowing journey through the swarth that cancer has cut through mankind throughout time.Mukherjee is a veritable kaleidoscope .",POS,absolutely,Mukherjee,0
"And on this incredible journey into the depths of that darkness , what an absolutely marvelous guide is this modern day Virgil called Siddharta Mukherjee as he leads us on this long and often harrowing journey through the swarth that cancer has cut through mankind throughout time.Mukherjee is a veritable kaleidoscope .",POS,absolutely,Siddharta,0
"And on this incredible journey into the depths of that darkness , what an absolutely marvelous guide is this modern day Virgil called Siddharta Mukherjee as he leads us on this long and often harrowing journey through the swarth that cancer has cut through mankind throughout time.Mukherjee is a veritable kaleidoscope .",POS,marvelous,Mukherjee,0
"And on this incredible journey into the depths of that darkness , what an absolutely marvelous guide is this modern day Virgil called Siddharta Mukherjee as he leads us on this long and often harrowing journey through the swarth that cancer has cut through mankind throughout time.Mukherjee is a veritable kaleidoscope .",POS,marvelous,Siddharta,0
And seriously how many times can this guy die or try and kill himself ? It was a real disappointment because I invested quite a bit of time into this series with high hopes it would all be worth it .,NEG,,series,1
"And she really went out on a limb with this book , indeed with the entire trilogy.I 'm sorry to say that , for me , that limb cracked about half way through , and it all came crashing to the slimy , mud covered , insert riddled ground .",NEG,sorry,,0
"And some are not bad , per se , just narcissistic .",NEU,bad,,0
"And some are not bad , per se , just narcissistic .",NEU,not,,0
"And some of the airline information didn't seem quite right.All in all , frustrating to get so interested and then deal with an anticlimax ending .",NEG,frustrating,ending,0
And the author ends the book with caution about the elusive cure yet optimism for more effective future advancements in the fight against this killer disease that has touched so many of us or our loved ones.Bravo to Dr. Mukherjee .,POS,,Dr.,1
And the author ends the book with caution about the elusive cure yet optimism for more effective future advancements in the fight against this killer disease that has touched so many of us or our loved ones.Bravo to Dr. Mukherjee .,POS,,Mukherjee,1
"And the big solution to the whole clash of cultures , or at least a major one , seems far too simple and anti-climactic , making one wonder if the whole thing couldn't have been solved in the first thirty pages of book one .",NEG,,big,1
"And the big solution to the whole clash of cultures , or at least a major one , seems far too simple and anti-climactic , making one wonder if the whole thing couldn't have been solved in the first thirty pages of book one .",NEG,,solution,1
"And the big solution to the whole clash of cultures , or at least a major one , seems far too simple and anti-climactic , making one wonder if the whole thing couldn't have been solved in the first thirty pages of book one .",NEG,far,big,0
"And the big solution to the whole clash of cultures , or at least a major one , seems far too simple and anti-climactic , making one wonder if the whole thing couldn't have been solved in the first thirty pages of book one .",NEG,far,solution,0
"And the big solution to the whole clash of cultures , or at least a major one , seems far too simple and anti-climactic , making one wonder if the whole thing couldn't have been solved in the first thirty pages of book one .",NEG,simple,big,0
"And the big solution to the whole clash of cultures , or at least a major one , seems far too simple and anti-climactic , making one wonder if the whole thing couldn't have been solved in the first thirty pages of book one .",NEG,simple,solution,0
"And the big solution to the whole clash of cultures , or at least a major one , seems far too simple and anti-climactic , making one wonder if the whole thing couldn't have been solved in the first thirty pages of book one .",NEG,too,big,0
"And the big solution to the whole clash of cultures , or at least a major one , seems far too simple and anti-climactic , making one wonder if the whole thing couldn't have been solved in the first thirty pages of book one .",NEG,too,solution,0
"And the ending leaves open for another whole weird drama , which is probably on purpose , to be used later , but to be honest , I do n't think I will go out of my way to find more by this author.I did not get the same feel for Sweden as I have from other authors of similar type books .",NEG,,author.I,1
"And the public should read it to know and appreciate where we were and the great strides of great men that have brought us to present day standards , as well as pointing the way for further advances in the future .",POS,should,,0
"And the stories of his individual patients and those of other doctors , helps the reader remember the humanity behind this saga .",POS,,stories,1
and then immediately am swept back into the read .,POS,,read,1
And then we about hit rock bottom with The Demonwar Saga .,NEG,,Demonwar,1
And then we about hit rock bottom with The Demonwar Saga .,NEG,,Saga,1
And then we about hit rock bottom with The Demonwar Saga .,NEG,,The,1
And this book is a worthy second volume .,POS,worthy,book,0
"And throughout the book , in a brief reflective passage at the beginning of each chapter , we enter the mind of a man who will clearly emerge with a key role in the story.If your taste runs to intellectually challenging fare in detective fiction , youll love the Fjllbacka series .",POS,love,Fjllbacka,0
"And throughout the book , in a brief reflective passage at the beginning of each chapter , we enter the mind of a man who will clearly emerge with a key role in the story.If your taste runs to intellectually challenging fare in detective fiction , youll love the Fjllbacka series .",POS,love,series,0
And underlying it all is his sterling medical training and credentials which have been enumerated often elsewhere.The book itself is a tour de force .,POS,,book,1
And underlying it all is his sterling medical training and credentials which have been enumerated often elsewhere.The book itself is a tour de force .,POS,,,1
"And using only Nevare 's perspective while he spends most of the book with the Specks means key supporting characters like Yaril never appear at all , while others have minimal screen time.I still recommend Shaman 's Crossing , but can not recommend reading further in the trilogy .",NEG,not,Trilogy,0
"And using only Nevare 's perspective while he spends most of the book with the Specks means key supporting characters like Yaril never appear at all , while others have minimal screen time.I still recommend Shaman 's Crossing , but can not recommend reading further in the trilogy .",NEG,recommend,Trilogy,0
"And using only Nevare 's perspective while he spends most of the book with the Specks means key supporting characters like Yaril never appear at all , while others have minimal screen time.I still recommend Shaman 's Crossing , but can not recommend reading further in the trilogy .",POS,recommend,Crossing,0
"And using only Nevare 's perspective while he spends most of the book with the Specks means key supporting characters like Yaril never appear at all , while others have minimal screen time.I still recommend Shaman 's Crossing , but can not recommend reading further in the trilogy .",POS,recommend,'s,0
"And using only Nevare 's perspective while he spends most of the book with the Specks means key supporting characters like Yaril never appear at all , while others have minimal screen time.I still recommend Shaman 's Crossing , but can not recommend reading further in the trilogy .",POS,recommend,Shaman,0
"And using only Nevare 's perspective while he spends most of the book with the Specks means key supporting characters like Yaril never appear at all , while others have minimal screen time.I still recommend Shaman 's Crossing , but can not recommend reading further in the trilogy .",POS,still,Crossing,0
"And using only Nevare 's perspective while he spends most of the book with the Specks means key supporting characters like Yaril never appear at all , while others have minimal screen time.I still recommend Shaman 's Crossing , but can not recommend reading further in the trilogy .",POS,still,'s,0
"And using only Nevare 's perspective while he spends most of the book with the Specks means key supporting characters like Yaril never appear at all , while others have minimal screen time.I still recommend Shaman 's Crossing , but can not recommend reading further in the trilogy .",POS,still,Shaman,0
"And what should have been a clever plot device with Soldier 's Son and Nevare just wound up being clumsy and annoying to read , and really not that interesting .",NEU,interesting,plot,0
"And what should have been a clever plot device with Soldier 's Son and Nevare just wound up being clumsy and annoying to read , and really not that interesting .",NEU,not,plot,0
"And what should have been a clever plot device with Soldier 's Son and Nevare just wound up being clumsy and annoying to read , and really not that interesting .",NEU,really,plot,0
"And what should have been a clever plot device with Soldier 's Son and Nevare just wound up being clumsy and annoying to read , and really not that interesting .",NEU,that,plot,0
"And while I can admire the craft and artistry put into creating such a protagonist , while I can appreciate what Hobb has done with the elements of characterization , I still ca n't figure out WHY she had to do this not once , not twice , but THREE TIMES .",NEG,,,1
"And while not being at all didactic in the patronizing sense , the book teaches the reader a great deal about cancer the disease and its treatment .",POS,,book,1
"And you know what , I would n't want the repetition of the same character ! The plot itself was very imaginative .",POS,imaginative,plot,0
"And you know what , I would n't want the repetition of the same character ! The plot itself was very imaginative .",POS,very,plot,0
And you simply can not correct it by substituting the other character because much in that chapter was intended to reference the character who was written in and not the one intended.I am so glad this was not the last book of the series because it surely would have left me extremely disappointed .,NEG,,,1
And you simply can not correct it by substituting the other character because much in that chapter was intended to reference the character who was written in and not the one intended.I am so glad this was not the last book of the series because it surely would have left me extremely disappointed .,NEG,disappointed,,0
And you simply can not correct it by substituting the other character because much in that chapter was intended to reference the character who was written in and not the one intended.I am so glad this was not the last book of the series because it surely would have left me extremely disappointed .,NEG,extremely,,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,good,during,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,good,job,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,good,life,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,good,of,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,good,period,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,good,relating,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,good,THE,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,good,this,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,very,during,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,very,job,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,very,life,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,very,of,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,very,period,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,very,relating,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,very,THE,0
Annie Groves has done a very good job of relating the life during this period and I look forward to reading When the Lights Go On Again ( taken from a song sung by Very Lynn and heard almost every day ) .,POS,very,this,0
Annie Groves has really captured the war period .,POS,really,,0
"Another compelling story of magic , wonder , intrigue and mayhem .",POS,compelling,story,0
Another complaint is the writing is a bit off .,NEG,complaint,,0
Another excellent read which loses nothing in translation,POS,excellent,read,1
Another excellent read which loses nothing in translation,POS,,translation,1
Another gift for the medical student -- he requested it and loved it .,POS,,Gift,1
Another gift for the medical student -- he requested it and loved it .,POS,loved,,0
Another gift for the medical student -- he requested it and loved it .,POS,requested,,0
Another great book from Faye Kellerman .,POS,great,book,0
Another great read .,POS,great,read,0
Another great story .,POS,great,story,0
Another great story with a twist .,POS,great,story,0
Another plus is simply the writing .,POS,,writing,1
"Another thriller I liked about detective Patrick Hedstrom and his wife , because you can enjoy a thriller and read the detective 's private life too .",POS,liked,thriller,0
Another wonderful and insightful read,POS,insightful,read,0
Another wonderful and insightful read,POS,wonderful,read,0
Any novel that can blend the likes of history with the throes of an edgy thriller is a total winner in my book.I guess my only real problem with The Alexander Cipher was the lack of an appealing main character .,NEG,,character,1
Any novel that can blend the likes of history with the throes of an edgy thriller is a total winner in my book.I guess my only real problem with The Alexander Cipher was the lack of an appealing main character .,NEG,,main,1
Any one who has bought it should ask for a refund or a proper copy of the paper book .,NEG,,,1
Anyone interested in if/when/how cancer accompanies our life journey should read this before the emperor appears .,POS,should,,0
"Anyone posing as an editor for this volume should apologize to Feist , apologize to his readers , and return any pay that they received for the job.But it 's not that bad .",NEG,,,1
Anyone who loves to read family sagas will love this .,POS,love,,0
"Anyway : great , easy , fast read , and lots of detail .",POS,,read,1
"Anyway : great , easy , fast read , and lots of detail .",POS,great,read,0
Anyway its hard to find the right words for such a loathsome malady .,NEG,loathsome,malady,0
Apology to the faint hearted or hopelessly prudish .,NEG,Apology,,0
Arrived as listed .,POS,,,1
"As a breast cancer survivor , I found this book by chance and learned so much .",POS,,book,1
As a breast cancer survivor I was intrigued by the story .,POS,intrigued,story,0
"As a cancer survivor , I highly recommend this book to anyone touched by the disease .",POS,highly,book,0
"As a cancer survivor , I highly recommend this book to anyone touched by the disease .",POS,recommend,book,0
As a cancer survivor and very much interested in the progress made in the treatment of this disease I highly recommend this book .,POS,highly,book,0
As a cancer survivor and very much interested in the progress made in the treatment of this disease I highly recommend this book .,POS,recommend,book,0
As a cancer survivor I found the book extremely detailed yet interesting .,POS,detailed,book,0
As a cancer survivor I found the book extremely detailed yet interesting .,POS,extremely,book,0
As a cancer survivor I found the book extremely detailed yet interesting .,POS,interesting,book,0
"As a historian turned psychologist , I found this book to be fascinating and clear while at the same time explaining the role of personalities in what has happened during the war on cancer .",POS,clear,book,1
"As a historian turned psychologist , I found this book to be fascinating and clear while at the same time explaining the role of personalities in what has happened during the war on cancer .",POS,Fascinating,book,1
"As a historian turned psychologist , I found this book to be fascinating and clear while at the same time explaining the role of personalities in what has happened during the war on cancer .",POS,,book,1
As a layman I learned a lot about the history of treating cancer reading this book by Dr. Mukherjee .,POS,,book,1
As a long term fan of Mr. Feist I hope he respects his fans enough to fire the editors of this book .,NEG,,editors,1
As a medical professional I thoroughly enjoyed it .,POS,enjoyed,,0
As a medical professional I thoroughly enjoyed it .,POS,thoroughly,,0
"As a reader of heavier more twisted Nordic Noir books , I have difficulties with this , but do read her works regularly as I am frequently asked for NN recommendations.Source : Edelweiss for PegasusWould I recommend ?",NEG,,,1
"As a result , it does not imprint on you as much as the Assassin/Fool , but I still stayed up late at night and did not want to put the books down .",NEU,,books,1
As a sexual assault forensic nurse it still was a rude awakening but very well written.Thank you .,NEG,rude,assault,0
As a sexual assault forensic nurse it still was a rude awakening but very well written.Thank you .,NEG,rude,forensic,0
As a sexual assault forensic nurse it still was a rude awakening but very well written.Thank you .,NEG,rude,nurse,0
As a sexual assault forensic nurse it still was a rude awakening but very well written.Thank you .,NEG,rude,sexual,0
As a sexual assault forensic nurse it still was a rude awakening but very well written.Thank you .,POS,very,,0
As a sexual assault forensic nurse it still was a rude awakening but very well written.Thank you .,POS,Well,,0
As a sexual assault forensic nurse it still was a rude awakening but very well written.Thank you .,POS,written.Thank,,0
"As a small shop owner , I found much information in this book useful even though I am not a restauranteur , and have referred to it often over the past year and some months I 've had it .",POS,useful,information,0
"As a true Diana fan , I 'm so torn because I love this inside look into her life , and reading about the details we could never know from anyone else ; but am I also guilty of intruding into her life as she often complained about ?",POS,fan,Diana,0
"As a true Diana fan , I 'm so torn because I love this inside look into her life , and reading about the details we could never know from anyone else ; but am I also guilty of intruding into her life as she often complained about ?",POS,love,details,0
As a veteran foster parent of 20+ years it 's engaging .,POS,engaging,,0
"As a voracious reader of many genres who experiences books in a visceral manner , and as a woman who was physically incapable of bearing children , I knew this story would be painful and tried to avoid it .",NEG,,story,1
"As a voracious reader of many genres who experiences books in a visceral manner , and as a woman who was physically incapable of bearing children , I knew this story would be painful and tried to avoid it .",POS,painful,story,1
"As a work of scholarship , this book is just tremendous .",POS,tremendous,book,0
"As a writer , Mukherjee is a magician .",POS,,Mukherjee,1
"As always , Decker/Lazarus novels are a good read .",POS,good,read,1
"As always , Decker/Lazarus novels are a good read .",POS,,Decker/Lazarus,1
As always the story is entertaining and the action brisk .,POS,brisk,action,0
As always the story is entertaining and the action brisk .,POS,entertaining,story,0
"As cliff hangers go , this is a good one.If your a fan of Feist , you should already have read this book .",POS,good,,0
As it turned out that murder occurred thirty years before the crash.The book is well written but at times the storyline is implausible and the pace is tedious .,NEG,implausible,storyline,0
As it turned out that murder occurred thirty years before the crash.The book is well written but at times the storyline is implausible and the pace is tedious .,NEG,tedious,pace,0
As it turned out that murder occurred thirty years before the crash.The book is well written but at times the storyline is implausible and the pace is tedious .,POS,well,book,0
"As noted by other reviewers , the typos , and editing snafus are huge distractions when reading this .",NEG,distractions,editing,0
"As noted by other reviewers , the typos , and editing snafus are huge distractions when reading this .",NEG,distractions,snafus,0
"As noted by other reviewers , the typos , and editing snafus are huge distractions when reading this .",NEG,distractions,typos,0
"As noted by other reviewers , the typos , and editing snafus are huge distractions when reading this .",NEG,huge,editing,0
"As noted by other reviewers , the typos , and editing snafus are huge distractions when reading this .",NEG,huge,snafus,0
"As noted by other reviewers , the typos , and editing snafus are huge distractions when reading this .",NEG,huge,typos,0
"As others have stated , the plot would n't happen in a zillion years .",NEG,,plot,1
As others said it could have been 300 pages and still been too long .,NEG,long,,0
As others said it could have been 300 pages and still been too long .,NEG,too,,0
"As such , this book is a triumph demanding to be read b all who aspire to call themselves citizens of the universe .",POS,,book,1
"As the smoke clears , it seems there is little for him left to do but be thankful that his daughter 's nearby school was n't affected by the crash , and the scene becomes one of search and investigation .",POS,thankful,,0
As usual another fantastic book by Raymond .,POS,fantastic,book,0
As well as some mix up with Pug and Magnus.But for all that I loved it .,NEG,,,1
As well as some mix up with Pug and Magnus.But for all that I loved it .,POS,loved,,1
As with all her other books it grabs your heart and makes you wonder how anyone can do these things to anyone let alone children .,POS,,books,1
As with all her other books it grabs your heart and makes you wonder how anyone can do these things to anyone let alone children .,POS,,,1
"Aside from switching two characters in a particular setting and momentarily confusing the identity of another , the errors do not affect the story .",NEG,confusing,,1
"Aside from switching two characters in a particular setting and momentarily confusing the identity of another , the errors do not affect the story .",NEG,,,1
"Aside from the multitude of grammatical errors that you might expect in a first edition , there was a severe plot mistake that set the story back .",NEG,,errors,1
"Aside from the multitude of grammatical errors that you might expect in a first edition , there was a severe plot mistake that set the story back .",NEG,,grammatical,1
"Aside from the multitude of grammatical errors that you might expect in a first edition , there was a severe plot mistake that set the story back .",NEG,,mistake,1
"Aside from the multitude of grammatical errors that you might expect in a first edition , there was a severe plot mistake that set the story back .",NEG,,plot,1
"Aside from the passive voice , which is always annoying , that word housed is irksome .",NEG,always,passive,0
"Aside from the passive voice , which is always annoying , that word housed is irksome .",NEG,always,voice,0
"Aside from the passive voice , which is always annoying , that word housed is irksome .",NEG,annoying,passive,0
"Aside from the passive voice , which is always annoying , that word housed is irksome .",NEG,annoying,voice,0
"Aside from the passive voice , which is always annoying , that word housed is irksome .",NEG,irksome,word,0
Astonishing that there is little that has changed since cancer was discovered .,POS,Astonishing,,0
"At first , I found both of the superiors ( and I 'm using the term very loosely here ) to be hilarious although their lack of willingness to do any real work greatly bothered me .",NEG,,both,1
"At first , I found both of the superiors ( and I 'm using the term very loosely here ) to be hilarious although their lack of willingness to do any real work greatly bothered me .",NEG,,of,1
"At first , I found both of the superiors ( and I 'm using the term very loosely here ) to be hilarious although their lack of willingness to do any real work greatly bothered me .",NEG,,superiors,1
"At first , I found both of the superiors ( and I 'm using the term very loosely here ) to be hilarious although their lack of willingness to do any real work greatly bothered me .",NEG,,THE,1
"At first , I found both of the superiors ( and I 'm using the term very loosely here ) to be hilarious although their lack of willingness to do any real work greatly bothered me .",POS,hilarious,both,1
"At first , I found both of the superiors ( and I 'm using the term very loosely here ) to be hilarious although their lack of willingness to do any real work greatly bothered me .",POS,hilarious,of,1
"At first , I found both of the superiors ( and I 'm using the term very loosely here ) to be hilarious although their lack of willingness to do any real work greatly bothered me .",POS,hilarious,superiors,1
"At first , I found both of the superiors ( and I 'm using the term very loosely here ) to be hilarious although their lack of willingness to do any real work greatly bothered me .",POS,hilarious,THE,1
At least half the novel is finished before the plot becomes interesting .,NEG,,novel,1
At one point in my life I really wanted to be an archaeologist so I like books about that .,POS,like,books,0
"At some points , his punch line in a chapter made my heart skip - e.g .",POS,,line,1
"At some points , his punch line in a chapter made my heart skip - e.g .",POS,,punch,1
"At some points it is a hard reading , dense and full of bad stories but always with a hope message ahead .",POS,,,1
"At some points it is a hard reading , dense and full of bad stories but always with a hope message ahead .",NEG,bad,,0
"At some points it is a hard reading , dense and full of bad stories but always with a hope message ahead .",NEG,hard,,0
At the same time I ca n't wait for the last book but dread it at the same time as it means the end has come.Go Pug !,NEG,dread,book,1
At the same time I ca n't wait for the last book but dread it at the same time as it means the end has come.Go Pug !,POS,for,book,1
At the same time I ca n't wait for the last book but dread it at the same time as it means the end has come.Go Pug !,POS,n't,book,1
At the same time I ca n't wait for the last book but dread it at the same time as it means the end has come.Go Pug !,POS,wait,book,1
"At this point , I 've had it with Nevare 's impotence .",NEG,,,1
At times I felt like he was just throwing in every single historical detail he had at the book .,NEG,,book,1
At times I felt like he was just throwing in every single historical detail he had at the book .,NEG,,,1
Author Siddhartha Mukherjee has a real flair for organization and storytelling .,POS,flair,author,0
Author Siddhartha Mukherjee has a real flair for organization and storytelling .,POS,flair,Mukherjee,0
Author Siddhartha Mukherjee has a real flair for organization and storytelling .,POS,flair,Siddhartha,0
Author Siddhartha Mukherjee has put together a very comprehensive review of medicine 's history battling cancer .,POS,comprehensive,review,0
Author Siddhartha Mukherjee has put together a very comprehensive review of medicine 's history battling cancer .,POS,very,review,0
"awesome book , must read for anyone interested in how this disease manifests itself .",POS,awesome,book,0
"awesome book , must read for anyone interested in how this disease manifests itself .",POS,must,read,0
Awesome book .,POS,Awesome,book,0
Awesome book so clearly written and so informative on our journeys with cancer .,POS,Awesome,book,0
Awesome book so clearly written and so informative on our journeys with cancer .,POS,clearly,book,0
Awesome book so clearly written and so informative on our journeys with cancer .,POS,informative,book,0
Awesome book so clearly written and so informative on our journeys with cancer .,POS,so,book,0
"Based on that alone , this book is a must read for virtually everyone .",POS,must,book,0
Be glad when I have finished them and can read something else .,POS,glad,,0
"Be prepared to suffer through characters you don't like and can't feel empathy for in the first portion , because the ending makes it all worth it .",POS,all,ending,0
"Be prepared to suffer through characters you don't like and can't feel empathy for in the first portion , because the ending makes it all worth it .",POS,worth,ending,0
Beach read,POS,,read,1
"Bearing their own emotional scars , they now devote their lives to sharing their story with others , and helping all the child victims of cults around the world.The story told by the three sisters in this book is eye-opening and brutally honest , yet at no point overly sentimental or self-pitying .",NEG,brutally,story,1
"Bearing their own emotional scars , they now devote their lives to sharing their story with others , and helping all the child victims of cults around the world.The story told by the three sisters in this book is eye-opening and brutally honest , yet at no point overly sentimental or self-pitying .",POS,eye-opening,story,1
"Bearing their own emotional scars , they now devote their lives to sharing their story with others , and helping all the child victims of cults around the world.The story told by the three sisters in this book is eye-opening and brutally honest , yet at no point overly sentimental or self-pitying .",POS,,story,1
Beautiful and engaging prose .,POS,beautiful,prose,0
Beautiful and engaging prose .,POS,engaging,prose,0
"Beautifully as we near the end of the story , we revisit patients whose cancers seem to have disappeared from their bodies and have been able to return to a life that was presumed dead .",POS,Beautifully,end,0
"Beautifully as we near the end of the story , we revisit patients whose cancers seem to have disappeared from their bodies and have been able to return to a life that was presumed dead .",POS,Beautifully,of,0
"Beautifully as we near the end of the story , we revisit patients whose cancers seem to have disappeared from their bodies and have been able to return to a life that was presumed dead .",POS,Beautifully,story,0
"Beautifully as we near the end of the story , we revisit patients whose cancers seem to have disappeared from their bodies and have been able to return to a life that was presumed dead .",POS,Beautifully,The,0
"Beautifully written , wholly engrossing .",POS,beautifully,,0
"Beautifully written , wholly engrossing .",POS,engrossing,,0
"Beautifully written , wholly engrossing .",POS,wholly,,0
Beautifully written and mega-informative on a topic in which we all have an interest .,POS,beautifully,,1
Beautifully written and mega-informative on a topic in which we all have an interest .,POS,interest,topic,1
Beautifully written and mega-informative on a topic in which we all have an interest .,POS,mega-informative,,1
Beautifully written and mega-informative on a topic in which we all have an interest .,POS,,topic,1
Beautifully written and understandable .,POS,beautifully,,0
Beautifully written and understandable .,POS,understandable,,0
"Before it 's over , the detectives traipse all over California and New Mexico searching for the truth , So a decent tale , with a pretty clever plot and a surprising enough dnouement awaits .",POS,clever,plot,0
"Before it 's over , the detectives traipse all over California and New Mexico searching for the truth , So a decent tale , with a pretty clever plot and a surprising enough dnouement awaits .",POS,decent,tale,0
"Before it 's over , the detectives traipse all over California and New Mexico searching for the truth , So a decent tale , with a pretty clever plot and a surprising enough dnouement awaits .",POS,enough,dnouement,0
"Before it 's over , the detectives traipse all over California and New Mexico searching for the truth , So a decent tale , with a pretty clever plot and a surprising enough dnouement awaits .",POS,pretty,plot,0
"Before it 's over , the detectives traipse all over California and New Mexico searching for the truth , So a decent tale , with a pretty clever plot and a surprising enough dnouement awaits .",POS,surprising,dnouement,0
"Besides , your mother is a phenomenal cook.Nobody talks like that -- NOBODY .",NEG,,,1
Best book I 've read in a long while and I read a lot .,POS,best,book,0
Best book I 've read in years .,POS,best,book,0
"Better for speed-readers.Tom Barnes author of ` Doc Holliday 's Road to Tombstone , ' ` The Goring Collection , ' ` The Hurricane Hunters and Lost in the Bermuda Triangle .",POS,better,,0
"Better research next time , please.There were way too many minor stories going on and it distracted from the main story.The ending was rushed .",NEG,,ending,1
"Better research next time , please.There were way too many minor stories going on and it distracted from the main story.The ending was rushed .",NEG,,story.The,1
Better writers than I have critiqued this trilogy .,POS,better,writers,0
"Boo to the naysayers , they should read a dime store novel and complain about that .",NEG,,naysayers,1
Book 4 was a huge disappointment .,NEG,disappointment,4,0
Book 4 was a huge disappointment .,NEG,disappointment,book,0
Book 4 was a huge disappointment .,NEG,huge,4,0
Book 4 was a huge disappointment .,NEG,huge,book,0
Book arrived as described .,POS,,book,1
Book arrived as promised and condition is as advertised .,POS,promised,book,1
Book arrived as promised and condition is as advertised .,POS,,condition,1
"Book could have been shorter -- too many forgettable names , but unforgettable experiences .",NEG,forgettable,names,0
"Book could have been shorter -- too many forgettable names , but unforgettable experiences .",NEG,many,names,0
"Book could have been shorter -- too many forgettable names , but unforgettable experiences .",NEG,too,names,0
"Book could have been shorter -- too many forgettable names , but unforgettable experiences .",NEU,shorter,book,0
"Book could have been shorter -- too many forgettable names , but unforgettable experiences .",POS,unforgettable,experiences,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",POS,,pace,1
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,dry,books,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,dry,latter,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,dry,two,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,overly,books,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,overly,latter,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,overly,two,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,repetitive,books,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,repetitive,latter,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,repetitive,two,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,slow,books,0
"Book one rewards the pace more than either of the latter two books , which seem overly slow , overly dry , and at times overly repetitive -- both could have lost a few hundred pages and suffered very little in terms of characterization or plot .",NEG,slow,latter,0
