sentence,aspect,sentiment,subjectivity
i had to get apple customer support to correct the problem.,apple customer support,neutral,1
a veryimportant feature is firewire 800 which in my experience works better then usb3 (in pc enabled with usb3)i was not originally sold on the mac os i felt it was inferior in many ways to windows 7.,usb3,neutral,1
"after replacing the spinning hard disk with an ssd drive, my mac is just flying.",spinning hard disk,neutral,1
i know some people complained about hdmi issues but they released a firmware patch to address that issue.,hdmi,neutral,1
i know some people complained about hdmi issues but they released a firmware patch to address that issue.,firmware patch,neutral,1
with the needs of a professional photographer i generally need to keep up with the best specs.,specs,neutral,1
i called toshiba where i gave them the serial number and they informed me that they were having issues with the mother boards.,mother boards,neutral,1
it also comes with 4g of ram but if you're like me you want to max that out so i immediately put 8g of ram in her and i've never used a computer that performs better.,4g of ram,neutral,1
it also comes with 4g of ram but if you're like me you want to max that out so i immediately put 8g of ram in her and i've never used a computer that performs better.,8g of ram,neutral,1
i've had it for about 2 months now and found no issues with software or updates.,software,neutral,1
i've had it for about 2 months now and found no issues with software or updates.,updates,neutral,1
the latest version does not have a disc drive.,disc drive,neutral,1
tech support would not fix the problem unless i bought your plan for $150 plus.,tech support,negative,0
did not enjoy the new windows 8 and touchscreen functions.,windows 8,negative,0
did not enjoy the new windows 8 and touchscreen functions.,touchscreen functions,negative,0
"other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook i don't like, especially considering the $350 price tag.",internal speakers,negative,0
"other than not being a fan of click pads (industry standard these days) and the lousy internal speakers, it's hard for me to find things about this notebook i don't like, especially considering the $350 price tag.",click pads,negative,0
the apple engineers have not yet discovered the delete key.,delete key,negative,0
made interneting (part of my business) very difficult to maintain.,interneting,negative,0
"only problem that i had was that the track pad was not very good for me, i only had a problem once or twice with it, but probably my computer was a bit defective.",track pad,negative,0
but the mountain lion is just too slow.,mountain lion,negative,0
"this laptop has only 2 usb ports, and they are both on the same side.",usb ports,negative,0
"lastly, windows 8 is annoying.",windows 8,negative,0
biggest complaint is windows 8 .,windows 8,negative,0
only 2 usb ports...seems kind of...limited.,usb ports,negative,0
i would have given it 5 starts was it not for the fact that it had windows 8,windows 8,negative,0
but the performance of mac mini is a huge disappointment.,performance,negative,0
"however, i can refute that osx is ""fast"".",osx,negative,0
cons: screen resolution.,screen resolution,negative,0
from the speed to the multi touch gestures this operating system beats windows easily.,windows,negative,0
"i opted for the squaretrade 3-year computer accidental protection warranty ($1500-2000) which also support ""accidents"" like drops and spills that are not covered by applecare.",applecare,negative,0
once you get past learning how to use the poorly designed windows 8 set-up you may feel frustrated.,windows 8 set-up,negative,0
"and the fact that apple is driving the 13"" rmbp with the intel4000 graphic chip seems underpowered (to me.",intel4000 graphic chip,negative,0
apple removed the dvd drive firewire port (will work with adapter) and put the sdxc slot in a silly position on the back.,sdxc slot,negative,0
i do not like too much windows 8.,windows 8,negative,0
startup times are incredibly long: over two minutes.,startup times,negative,0
tried windows 8 and hated it !!!,windows 8,negative,0
but i do not like win8.,win8,negative,0
"i had the same reasons as most pc users: the price, the overbearing restrictions of osx and lack of support for games.",price,negative,0
"i had the same reasons as most pc users: the price, the overbearing restrictions of osx and lack of support for games.",osx,negative,0
"i had the same reasons as most pc users: the price, the overbearing restrictions of osx and lack of support for games.",support for games,negative,0
the settings are not user-friendly either.,settings,negative,0
"however, there are major issues with the touchpad which render the device nearly useless.",touchpad,negative,0
not as fast as i would have expect for an i5.,i5,negative,0
"yes, that's a good thing, but it's made from aluminum that scratches easily.",aluminum,negative,0
i was also informed that the components of the mac book were dirty.,components,negative,0
"the hardware problems have been so bad, i can't wait till it completely dies in 3 years, tops!",hardware,negative,0
however i chose two day shipping and it took over a week to arrive.,shipping,negative,0
"it feels cheap, the keyboard is not very sensitive.",keyboard,negative,0
"though please note that sometimes it crashes, and the sound quality isnt superb.",sound quality,negative,0
on start up it asks endless questions just so itune can sell you more of their products.,start up,negative,0
on start up it asks endless questions just so itune can sell you more of their products.,itune,negative,0
"one more thing, this mac does not come with restore disks and i am not sure if you can make them direct from the mac like you can with newer pc's, also the charging cables are made of the same cheap material as the iphone/ipod touch cables.",restore disks,negative,0
"one more thing, this mac does not come with restore disks and i am not sure if you can make them direct from the mac like you can with newer pc's, also the charging cables are made of the same cheap material as the iphone/ipod touch cables.",charging cables,negative,0
"one more thing, this mac does not come with restore disks and i am not sure if you can make them direct from the mac like you can with newer pc's, also the charging cables are made of the same cheap material as the iphone/ipod touch cables.",material,negative,0
the only issue came when i tried scanning to the mac.,scanning,negative,0
"my wife was so excited to open the box, but quickly came to see that it did not function as it should.",function,negative,0
"apple ""help"" is a mixed bag.","apple ""help""",negative,0
it suddenly can not work.,work,negative,0
"harddrive was in poor condition, had to replace it.",harddrive,negative,0
the on/off switch is a bit obscure in the rear corner.,on/off switch,negative,0
my only complaint is the total lack of instructions that come with the mac mini.,instructions,negative,0
"the only task that this computer would not be good enough for would be gaming, otherwise the integrated intel 4000 graphics work well for other tasks.",gaming,negative,0
the memory was gone and it was not able to be used.,memory,negative,0
i've lived with the crashes and slow operation and restarts.,operation,negative,0
usb3 peripherals are noticably less expensive than the thunderbolt ones.,thunderbolt,negative,0
i blame the mac os.,mac os,negative,0
"unfortunately, it runs xp and microsoft is dropping support next april.",support,negative,0
my trackpad is not working.,trackpad,negative,0
price was higher when purchased on mac when compared to price showing on pc when i bought this product.,price,negative,0
then the system would many times not power down without a forced power-off.,system,negative,0
then the system would many times not power down without a forced power-off.,power down,negative,0
and the speakers is the worst ever.,speakers,negative,0
"it was also suffering from hardware (keyboard) issues, relatively slow performance and shortening battery lifetime.",performance,negative,0
"it was also suffering from hardware (keyboard) issues, relatively slow performance and shortening battery lifetime.",battery lifetime,negative,0
"it was also suffering from hardware (keyboard) issues, relatively slow performance and shortening battery lifetime.",hardware (keyboard),negative,0
"i just bought the new macbook pro, the 13"" model, and i can't believe apple keeps making the same mistake with regard to usb ports.",usb ports,negative,0
after fumbling around with the os i started searching the internet for a fix and found a number of forums on fixing the issue.,os,negative,0
and as for all the fancy finger swipes -- i just gave up and attached a mouse.,finger swipes,negative,0
i like coming back to mac os but this laptop is lacking in speaker quality compared to my $400  old hp laptop.,speaker quality,negative,0
there were small problems with mac office.,mac office,negative,0
"i ordered my 2012 mac mini after being disappointed with spec of the new 27"" imacs.",spec,negative,0
"note, however, that any existing magsafe accessories you have will not work with the magsafe 2 connection.",magsafe 2 connection,negative,0
"the only thing i dislike is the touchpad, alot of the times its unresponsive and does things i dont want it too, i would recommend using a mouse with it.",touchpad,negative,0
maybe the mac os improvement were not the product they want to offer.,mac os,negative,0
i will not be using that slot again.,slot,negative,0
"also, in using the built-in camera, my voice recording for my vlog sounds like the interplanetary transmissions in the ""star wars"" saga.",voice recording,negative,0
the technical support was not helpful as well.,technical support,negative,0
the sound was crappy even when you turn up the volume still the same results.,sound,negative,0
the sound was crappy even when you turn up the volume still the same results.,volume,negative,0
"having heard from friends and family about how reliable a mac product is, i never expected to have an application crash within the first month, but i did.",application,negative,0
3d rendering slows it down considerably.,3d rendering,negative,0
my one complaint is that there was no internal cd drive.,internal cd drive,negative,0
the audio volume is quite low and virtually unusable in a room with any background activity.,audio volume,negative,0
boot-up slowed significantly after all windows updates were installed.,boot-up,negative,0
boot-up slowed significantly after all windows updates were installed.,windows updates,negative,0
more likely it will require replacing the logic board once they admit they have a problem and come up with a solution.,logic board,negative,0
"since the machine's slim profile is critical to me, that was a problem.",profile,negative,0
"the sd card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not.",sd card reader,negative,0
"the sd card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not.",nail slot on the card,negative,0
"the sd card reader is slightly recessed and upside down (the nail slot on the card cannot be accessed), if this was a self ejecting slot this would not be an issue, but its not.",slot,negative,0
i had to install mountain lion and it took a good two hours.,install mountain lion,negative,0
customization on mac is impossible.,customization,negative,0
the power plug has to be connected to the power adaptor to charge the battery but won't stay connected.,power plug,negative,0
"the battery was completely dead, in fact it had grown about a quarter inch thick lump on the underside.",battery,negative,0
"cons: price is a bit ridiculous, kinda heavy.",price,negative,0
it is very fast and has everything that i need except for a word program.,word program,negative,0
needs a cd/dvd drive and a bigger power switch.,power switch,negative,0
my laptop with windows 7 crashed and i did not want windows 8.,windows 7,negative,0
my laptop with windows 7 crashed and i did not want windows 8.,windows 8,negative,0
"apple no longer includes idvd with the computer and furthermore, apple doesn't even offer it anymore!",idvd,negative,0
"at first, i feel a little bit uncomfortable in using the mac system.",mac system,negative,0
"if you ask me, for this price it should be included.",price,negative,0
the battery is not as shown in the product photos.,battery,negative,0
"additionally, there is barely a ventilation system in the computer, and even the simple activity of watching videos let alone playing steam games causes the laptop to get very very hot, and in fact impossible to keep on lap.",ventilation system,negative,0
"many people complain about the new os, and it's urgent for apple to fix it asap!",os,negative,0
just beware no dvd slot so when i went to install software i had on cd i couldn't.,install software,negative,0
no cd rom in the new version there's no way i'm spending that kind of money on something has less features than the older version.,features,negative,0
the volume is really low to low for a laptopwas not expectin t volume to be so lowan i hate that about this computer,volume,negative,0
the volume is really low to low for a laptopwas not expectin t volume to be so lowan i hate that about this computer,volume,negative,0
"every time i log into the system after a few hours, there is this endlessly frustrating process that i have to go through.",log into the system,negative,0
"the case is now slightly larger than the previous generation, but the lack of an external power supply justifies the small increase in size.",case,negative,0
"i had to buy a wireless mouse to go with it, as i am old school and hate the pad, but knew that before i bought it, now it works great, need to get adjusted to the key board, as i am used to a bigger one and pounding.",pad,negative,0
the only thing i dislike about this laptop are the rubber pads found on the bottom of the computer for grip.,rubber pads,negative,0
"this mac mini does not have a built-in mic, and it would seem that its mac os 10.9 does not handle external microphones properly.",mac os 10.9,negative,0
air has higher resolution but the fonts are small.,fonts,negative,0
the only thing i miss is that my old alienware laptop had backlit keys.,backlit keys,negative,0
"but with this laptop, the bass is very weak and the sound comes out sounding tinny.",bass,negative,0
"but with this laptop, the bass is very weak and the sound comes out sounding tinny.",sound,negative,0
"further, this mac mini has a sloppy bluetooth interface (courtesy of the mac os) and the range is poor.",bluetooth interface,negative,0
"further, this mac mini has a sloppy bluetooth interface (courtesy of the mac os) and the range is poor.",mac os,negative,0
"further, this mac mini has a sloppy bluetooth interface (courtesy of the mac os) and the range is poor.",range,negative,0
my only gripe would be the need to add more ram.,ram,negative,0
a veryimportant feature is firewire 800 which in my experience works better then usb3 (in pc enabled with usb3)i was not originally sold on the mac os i felt it was inferior in many ways to windows 7.,usb3,negative,0
a veryimportant feature is firewire 800 which in my experience works better then usb3 (in pc enabled with usb3)i was not originally sold on the mac os i felt it was inferior in many ways to windows 7.,mac os,negative,0
the first time i used the card reader it took half an hour and a pair of tweezers to remove the card.,card reader,negative,0
the first time i used the card reader it took half an hour and a pair of tweezers to remove the card.,remove the card,negative,0
"i seem to be having repeat problems as the mother board in this one is diagnosed as faulty, related to the graphics card.",mother board,negative,0
"i seem to be having repeat problems as the mother board in this one is diagnosed as faulty, related to the graphics card.",graphics card,negative,0
cost is more as compared to other brands.,cost,negative,0
i charge it at night and skip taking the cord with me because of the good battery life.,battery life,positive,0
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",quality,positive,0
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",gui,positive,0
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",applications,positive,0
"it is of high quality, has a killer gui, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",use,positive,0
easy to start up and does not overheat as much as other laptops.,start up,positive,0
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!",features,positive,0
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!",ichat,positive,0
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!",photobooth,positive,0
"i even got my teenage son one, because of the features that it offers, like, ichat, photobooth, garage band and more!",garage band,positive,0
great laptop that offers many great features!,features,positive,0
"in the shop, these macbooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).",rubber enclosure,positive,0
"however, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",multi-touch gestures,positive,0
"however, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",tracking area,positive,0
i love the way the entire suite of software works together.,suite of software,positive,0
the speed is incredible and i am more than satisfied.,speed,positive,0
this laptop meets every expectation and windows 7 is great!,windows 7,positive,0
pairing it with an iphone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,syncing,positive,0
"i also got the added bonus of a 30"" hd monitor, which really helps to extend my screen and keep my eyes fresh!","30"" hd monitor",positive,0
i love the operating system and the preloaded software.,operating system,positive,0
i love the operating system and the preloaded software.,preloaded software,positive,0
the best thing about this laptop is the price along with some of the newer features.,price,positive,0
the best thing about this laptop is the price along with some of the newer features.,features,positive,0
i sent it back to toshiba twice they covered it under the  warranty.,warranty,positive,0
i was looking for a mac which is portable and has all the features that i was looking for.,features,positive,0
drivers updated ok but the bios update froze the system up and the computer shut down.,drivers,positive,0
amazing quality!,quality,positive,0
the fact that you can spend over $100 on just a webcam underscores the value of this machine.,value,positive,0
"if a website ever freezes (which is rare), its really easy to force quit.",force quit,positive,0
i also enjoy the fact that my macbook pro laptop allows me to run windows 7 on it by using the vmware program.,windows 7,positive,0
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",operating system,positive,0
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",runs,positive,0
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",navigate,positive,0
"it's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",find files,positive,0
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,speed,positive,0
we upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.,performace,positive,0
and if you have a iphone or ipod touch you can connect and download songs to it at high speed.,speed,positive,0
i love the glass touchpad.,glass touchpad,positive,0
i am using the external speaker- sound is good.,external speaker,positive,0
i am using the external speaker- sound is good.,sound,positive,0
"everything is so easy to use, mac software is just so much simpler than microsoft software.",mac software,positive,0
"everything is so easy to use, mac software is just so much simpler than microsoft software.",use,positive,0
its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,use,positive,0
its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,service,positive,0
its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,phone assistance,positive,0
its ease of use and the top service from apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,genius bar,positive,0
"it has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,0
"it has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.",battery life,positive,0
"acer has set me up with free recovery discs, when they are available since i asked.",recovery discs,positive,0
"the battery life seems to be very good, and have had no issues with it.",battery life,positive,0
"there is no need to purchase virus protection for mac, which saves me a lot of time and money.",virus protection for mac,positive,0
"it is always reliable, never bugged and responds well.",responds,positive,0
"yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",use,positive,0
"also, if you need to talk to a representive at microsoft, there is a charge, which i believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with xp if they could.",xp,positive,0
i love windows 7 which is a vast improvment over vista.,windows 7,positive,0
"keyboard is great, very quiet for all the typing that i do.",keyboard,positive,0
"i can render avchd movies with little effort, which was a problem for most pc's unless you had a quad core i7.",quad core i7,positive,0
"after talking it over with the very knowledgeable sales associate, i chose the macbook pro over the white macbook.",sales associate,positive,0
"if you really want a bang-up system and don't need to run windows applications, go with an apple;",system,positive,0
it's color is even cool.,color,positive,0
"yes, a mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",style,positive,0
"yes, a mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",speed,positive,0
the keyboard feels good and i type just fine on it.,keyboard,positive,0
"best buy - 5 stars + + + (sales, service, respect for old men who aren't familiar with the technology) dell computers - 3 stars dell support - owes a me a couple",sales,positive,0
"best buy - 5 stars + + + (sales, service, respect for old men who aren't familiar with the technology) dell computers - 3 stars dell support - owes a me a couple",service,positive,0
"best buy - 5 stars + + + (sales, service, respect for old men who aren't familiar with the technology) dell computers - 3 stars dell support - owes a me a couple",dell support,positive,0
"yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",speed,positive,0
"yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",construction quality,positive,0
"yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",longevity,positive,0
"since i keyboard over 100 wpm, i look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keyboard,positive,0
"since i keyboard over 100 wpm, i look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",keys,positive,0
"since i keyboard over 100 wpm, i look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.","configuration of ""extra key""",positive,0
"it absolutely is more expensive than most pc laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",use,positive,0
"it absolutely is more expensive than most pc laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",security,positive,0
lots of preloaded software.,preloaded software,positive,0
my favorite part of this computer is that it has a vga port so i can connect it to a bigger screen.,vga port,positive,0
another thing i might add is the battery life is excellent.,battery life,positive,0
"acer was no help and garmin could not determine the problem(after spending about 2 hours with me), so i returned it and purchased a toshiba r700 that seems even nicer and i was able to load all of my software with no problem.",software,positive,0
"i play a lot of casual games online, and the touchpad is very responsive.",touchpad,positive,0
"granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my mac boots up noticeably quicker.",boots up,positive,0
"it is everything i'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.",look and feel standpoint,positive,0
the only fact i dont like about apples is they generally use safari and i dont use safari but after i install mozzilla firfox i love every single bit about it.,mozzilla firfox,positive,0
"great battery, speed, display.",battery,positive,0
"great battery, speed, display.",speed,positive,0
"great battery, speed, display.",display,positive,0
"the delivery was fast, and i would not hesitate to purchase this laptop again.",delivery,positive,0
i've been impressed with the battery life and the performance for such a small amount of memory.,battery life,positive,0
i've been impressed with the battery life and the performance for such a small amount of memory.,performance,positive,0
"it's applications are terrific, including the replacements for microsoft office.",applications,positive,0
"it's applications are terrific, including the replacements for microsoft office.",microsoft office,positive,0
"my dad has one of the very first toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",ethernet,positive,0
"my dad has one of the very first toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",works,positive,0
mostly i love the drag and drop feature.,drag and drop feature,positive,0
"i ordered through macmall, which saved me the sales tax i would have incurred buying locally.",sales tax,positive,0
"of course, i also have several great software packages that came for free including iwork, garageband, and imovie.",software packages,positive,0
"of course, i also have several great software packages that came for free including iwork, garageband, and imovie.",iwork,positive,0
"of course, i also have several great software packages that came for free including iwork, garageband, and imovie.",garageband,positive,0
"of course, i also have several great software packages that came for free including iwork, garageband, and imovie.",imovie,positive,0
the screen is very large and crystal clear with amazing colors and resolution.,screen,positive,0
the screen is very large and crystal clear with amazing colors and resolution.,colors,positive,0
the screen is very large and crystal clear with amazing colors and resolution.,resolution,positive,0
"the brand of itunes has just become ingrained in our lexicon now, but keep in mind that apple started it all.",itunes,positive,0
"the display is incredibly bright, much brighter than my powerbook and very crisp.",display,positive,0
the amd turin processor seems to always perform so much better than intel.,amd turin processor,positive,0
really like the textured surface which shows no fingerprints.,surface,positive,0
the screen is bright and the keyboard is nice;,screen,positive,0
the screen is bright and the keyboard is nice;,keyboard,positive,0
but the machine is awesome and ilife is great and i love snow leopard x.,ilife,positive,0
but the machine is awesome and ilife is great and i love snow leopard x.,snow leopard x,positive,0
"i thought learning the mac os would be hard, but it is easily picked up if you are familiar with a pc.",mac os,positive,0
it is easy to use and lightweight.,use,positive,0
i went to toshiba online help and found some suggestions to fix it.,toshiba online help,positive,0
they also have a longer service life than other computers (i have several friends who still use the older apple powerbooks).,service life,positive,0
this laptop is a great price and has a sleek look.,price,positive,0
this laptop is a great price and has a sleek look.,look,positive,0
i especially like the keyboard which has chiclet type keys.,keyboard,positive,0
i especially like the keyboard which has chiclet type keys.,keys,positive,0
the gray color was a good choice.,gray color,positive,0
i bought a protector for my key pad and it works great :),key pad,positive,0
the magnetic plug-in power charging power cord is great (i even put it to the test by accident)- excellent innovation!,magnetic plug-in power charging power cord,positive,0
it seems they could have updated xp and done without creating vista.,xp,positive,0
"  it is easy to use, fast and has great graphics for the money.",graphics,positive,0
"  it is easy to use, fast and has great graphics for the money.",use,positive,0
i like how the mac os is so simple and easy to use.,mac os,positive,0
i like how the mac os is so simple and easy to use.,use,positive,0
"while apple's saving grace is the fact that they at least stand behind their products, and their support is great, it would be nice if their products were more reliable to justify the premium.",support,positive,0
"i was ready to take it back for a refund, but the geek squad camed through and pointed me in the right direction to get it fixed.",geek squad,positive,0
only good thing is the graphics quality.,graphics quality,positive,0
the store honored their warrenty and made the comment that they don't even recommend the hp brand because of the problems with their warrentys.,warrenty,positive,0
but the screen size is not that bad for email and web browsing.,screen size,positive,0
"am very glad i bought it, great netbook, low price.",price,positive,0
the apple team also assists you very nicely when choosing which computer is right for you :),apple team,positive,0
that whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,mouse,positive,0
"fan vents to the side, so no cooling pad needed, great feature!",fan,positive,0
"fan vents to the side, so no cooling pad needed, great feature!",feature,positive,0
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",software,positive,0
"it has far exceeded my expectations for power, storage, and abilitiy.",power,positive,0
"it has far exceeded my expectations for power, storage, and abilitiy.",storage,positive,0
"it has far exceeded my expectations for power, storage, and abilitiy.",abilitiy,positive,0
"a great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",spotlight search,positive,0
"a great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document.",feature,positive,0
i am enjoying it and the quality it provides is great!,quality,positive,0
"suffice it to say, my macbook pro keeps me going with its long battery life and blazing speed.",battery life,positive,0
"suffice it to say, my macbook pro keeps me going with its long battery life and blazing speed.",speed,positive,0
"the os is also very user friendly, even for those that switch from a pc, with a little practice you can take full advantage of this os!",os,positive,0
"the os is also very user friendly, even for those that switch from a pc, with a little practice you can take full advantage of this os!",os,positive,0
"itunes is a handy music-management program, and it is essential for anyone with an ipod.",itunes,positive,0
"itunes is a handy music-management program, and it is essential for anyone with an ipod.",program,positive,0
"i've had to call apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from vancouver) techs that walked me through the processes to help me.",apple support,positive,0
"i've had to call apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from vancouver) techs that walked me through the processes to help me.",techs,positive,0
the programs are esay to use and are quick to process this computer works like a charm.,programs,positive,0
the programs are esay to use and are quick to process this computer works like a charm.,use,positive,0
tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,tech support,positive,0
sells for the same as a netbook without sacrificing size.,size,positive,0
"with awesome graphics and assuring security, it's perfect!",graphics,positive,0
"with awesome graphics and assuring security, it's perfect!",security,positive,0
it runs perfectly.,runs,positive,0
the laptop was very easy to set up.,set up,positive,0
i recommend for word processing and internet users.,word processing,positive,0
i recommend for word processing and internet users.,internet,positive,0
since i've had this computer i've only used the trackpad because it is so nice and smooth.,trackpad,positive,0
a longer battery life would have been great - but it meets it's spec quite easily.,spec,positive,0
"who couldn't love a dvd burner, 80-gigabyte hd, and fairly new graphics chip? as i soon discovered, though, there is a reason for which similarly-configured sony and toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",hd,positive,0
"who couldn't love a dvd burner, 80-gigabyte hd, and fairly new graphics chip? as i soon discovered, though, there is a reason for which similarly-configured sony and toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",graphics chip,positive,0
"who couldn't love a dvd burner, 80-gigabyte hd, and fairly new graphics chip? as i soon discovered, though, there is a reason for which similarly-configured sony and toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",components,positive,0
"who couldn't love a dvd burner, 80-gigabyte hd, and fairly new graphics chip? as i soon discovered, though, there is a reason for which similarly-configured sony and toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",dvd burner,positive,0
its fast and another thing i like is that it has three usb ports.,usb ports,positive,0
"the computer itself was fast, ran smoothly, and had no problems.",ran,positive,0
like the price and operation.,price,positive,0
like the price and operation.,operation,positive,0
i loaded windows 7 via bootcamp and it works flawlessly!,windows 7,positive,0
i loaded windows 7 via bootcamp and it works flawlessly!,bootcamp,positive,0
"great laptop for the price, works well with action pack games.",price,positive,0
"great laptop for the price, works well with action pack games.",works,positive,0
"the macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",twin packing,positive,0
"the macbook arrived in a nice twin packing and sealed in the box, all the functions works great.",functions,positive,0
so what if the laptops/mobile phones look chic and cool? the after sales support is terrible.,look,positive,0
i also like the acer arcade but these were reallythe only two things i liked about this laptop.,acer arcade,positive,0
"have not yet needed any customer support with this yet so to me that is a great thing, which is leaps and bounds ahead of pc in my opinion.",customer support,positive,0
it runs very quiet too which is a plus.,runs,positive,0
the games included are very good games.,games,positive,0
"this computer will last you at least 7 years, thats an amazing life spanned an electronic.",life,positive,0
it's super fast and a great value for the price!,value,positive,0
it's super fast and a great value for the price!,price,positive,0
a mac is very easy to use and it simply makes sense.,use,positive,0
it is so much easier to use,use,positive,0
there is no need to open a program first and the cliick open or import.,program,positive,0
it is so nice not to worry about that and the extra expense that comes along with the necessary virus protection on pc's.,virus protection,positive,0
"the processor screams, and because of the unique way that apple osx 16 functions, most of the graphics are routed through the hardware rather than the software.",processor,positive,0
"the processor screams, and because of the unique way that apple osx 16 functions, most of the graphics are routed through the hardware rather than the software.",osx 16,positive,0
"the processor screams, and because of the unique way that apple osx 16 functions, most of the graphics are routed through the hardware rather than the software.",graphics,positive,0
"the price premium is a little much, but when you start looking at the features it is worth the added cash.",features,positive,0
i can't say enough of how satisfied i am with their product and help aftermarket.,product and help aftermarket,positive,0
"i connect a lacie 2big external drive via the firewire 800 interface, which is useful for time machine.",firewire 800 interface,positive,0
"i am overall very pleased with my toshiba satellite, i like the extra features, i love the windows 7 home premium.",extra features,positive,0
"i am overall very pleased with my toshiba satellite, i like the extra features, i love the windows 7 home premium.",windows 7 home premium,positive,0
it fires up in the morning in less than 30 seconds and i have never had any issues with it freezing.,fires up,positive,0
the keyboard is top notch.,keyboard,positive,0
the online tutorial videos make it super easy to learn if you have always used a pc.,online tutorial videos,positive,0
"the image is great, and the soud is excelent.",image,positive,0
"the image is great, and the soud is excelent.",soud,positive,0
it was very easy to just pick up and use-- it did not take long to get used to the mac os.,mac os,positive,0
it was very easy to just pick up and use-- it did not take long to get used to the mac os.,use,positive,0
"it is well worth the money it cost, very good investment.",cost,positive,0
this computer had exactly the specifications i needed.,specifications,positive,0
"i had upgraded my old macbook to lion, so i kind of knew what i was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",multi-touch features,positive,0
"not to mention, the battery life is absolutely amazing.",battery life,positive,0
it's fast and has excellent battery life.,battery life,positive,0
